,professionCategories,languages,academicTitles,firstName,middleName,lastName,dateOfBirth,profession,specialization,background,person,parlGroup,position,note,_id,name,color,logo,leftRightPos,seatsWon
0,['икономист'],['английски'],[],Димитър,Ангелов,Иванов,1980-07-10T00:00:00.000Z,,икономика на търговията,,60d4cc58c4ced20a9c9dffe9,61aa179dd17ed11f18a07b0b,член,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
1,['инженер'],"['английски', 'руски', 'румънски']",[],Емил,Ценов,Георгиев,1951-06-14T00:00:00.000Z,,,,60d4cc59c4ced20a9c9e008f,61aa179dd17ed11f18a07b0e,член,,61aa179dd17ed11f18a07b0e,БСП за България,#d8191f,/logos/bsp2021.png,3,26.0
2,['икономист'],"['английски', 'немски', 'руски', 'сръбски', 'френски']",[],Станислав,Димитров,Анастасов,1983-06-05T00:00:00.000Z,,"стопанско управление, политически мениджмънт",,60d4cc59c4ced20a9c9e00e1,61aa179dd17ed11f18a07b10,член,,61aa179dd17ed11f18a07b10,Движение за права и свободи,#884ac2,/logos/dps.png,2,34.0
3,"['икономист', 'преподавател']","['английски', 'руски']",[],Петър,Пандушев,Чобанов,1976-07-20T00:00:00.000Z,,макроикономика,,60d4cc59c4ced20a9c9e0127,61aa179dd17ed11f18a07b10,член,,61aa179dd17ed11f18a07b10,Движение за права и свободи,#884ac2,/logos/dps.png,2,34.0
4,['инженер'],"['английски', 'руски', 'турски']",[],Гюнай,Хюсмен,Хюсмен,1966-05-11T00:00:00.000Z,,агроинженерство,,60d4cc59c4ced20a9c9e0164,61aa179dd17ed11f18a07b0b,член,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
5,['икономист'],"['английски', 'руски']",[],Настимир,Ананиев,Ананиев,1975-07-17T00:00:00.000Z,,,,60d4cc59c4ced20a9c9e018f,61aa179dd17ed11f18a07b0d,член,,61aa179dd17ed11f18a07b0d,Продължаваме промяната,#5dbf1d,/logos/produlzhavame-promianata.png,0,67.0
6,['икономист'],"['английски', 'немски']",[],Александър,Койчев,Иванов,1982-08-29T00:00:00.000Z,,,,60d4cc59c4ced20a9c9e01c2,61aa179dd17ed11f18a07b0b,член,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
7,"['следовател', 'юрист']",['английски'],[],Делян,Славчев,Пеевски,1980-07-27T00:00:00.000Z,,,,60d4cc59c4ced20a9c9e0204,61aa179dd17ed11f18a07b10,член,,61aa179dd17ed11f18a07b10,Движение за права и свободи,#884ac2,/logos/dps.png,2,34.0
8,['икономист'],"['английски', 'немски']",[],Жечо,Дончев,Станков,1982-08-04T00:00:00.000Z,,,,60d4cc59c4ced20a9c9e020b,61aa179dd17ed11f18a07b0b,член,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
9,['лекар'],"['английски', 'руски']",[],Красимир,Митков,Събев,1968-12-30T00:00:00.000Z,,,,60d4cc59c4ced20a9c9e029c,61aa179dd17ed11f18a07b0b,член,,61aa179dd17ed11f18a07b0b,ГЕРБ-СДС,#67a4d6,/logos/gerb-sds.jpg,1,59.0
